ID,RNDID,SNO
NAME,264,1
220004,21704,2
220012,13186,3
220036,9585,4
220052,20977,5
220071,19789,6
220072,16237,7
220081,25268,8
220084,15794,9
220093,21148,10
220096,23256,11
220105,30082,12
220110,10395,13
220112,6843,14
220113,30876,15
220125,2729,16
220127,12206,17
220133,9393,18
220137,26145,19
220160,30485,20
220165,21130,21
220170,19829,22
220171,11540,23
220187,32457,24
220192,17000,25
220193,5214,26
220194,6237,27
220196,24846,28
220203,8442,29
220214,22540,30
220226,4270,31
220227,7169,32
220229,4741,33
220232,23304,34
220244,8186,35
220245,13552,36
220248,21050,37
220250,22913,38
220270,11527,39
220272,1433,40
220277,29516,41
220285,9383,42
220318,10955,43
220328,19693,44
220334,32215,45
220336,1597,46
220337,30080,47
220348,8588,48
220366,2724,49
220391,8991,50
220396,24164,51
220397,9553,52
220404,20163,53
220417,13453,54
220424,28959,55
220435,30596,56
220438,22439,57
220439,32536,58
220444,5968,59
220445,23346,60
220446,30172,61
220451,10485,62
220459,28929,63
220460,26849,64
220464,14776,65
220472,18951,66
220482,4633,67
220496,22903,68
220510,28030,69
220515,3557,70
220524,6999,71
220525,23183,72
220530,1642,73
220533,4302,74
220544,5448,75
220546,30318,76
220548,30834,77
220551,28244,78
220553,15835,79
220559,23058,80
220561,22883,81
220567,32751,82
220571,27852,83
220572,5853,84
220574,21652,85
220576,16014,86
220579,12514,87
220580,24083,88
220585,1916,89
220591,13253,90
220597,18577,91
220599,9042,92
220600,24841,93
220601,12148,94
220605,3239,95
220606,25073,96
220607,6626,97
220613,20333,98
220617,23946,99
220618,25922,100
220621,7416,101
220624,20103,102
220626,27668,103
220632,5501,104
220637,23331,105
220651,17180,106
220655,12388,107
220667,26889,108
220679,6469,109
220700,29708,110
220710,3672,111
220727,31981,112
220730,2261,113
220734,28099,114
220735,13995,115
220751,743,116
220756,29458,117
220764,1424,118
220768,5486,119
220773,248,120
220775,11976,121
220781,10003,122
220788,18794,123
220806,24374,124
220809,26744,125
220814,4699,126
220838,24154,127
220848,298,128
220856,16097,129
220863,25400,130
220887,19197,131
220888,21912,132
220895,21964,133
220911,21176,134
220914,9806,135
220919,30669,136
220925,14998,137
220926,18324,138
220939,2033,139
220941,28085,140
220953,25605,141
220967,3053,142
220968,4574,143
220978,11222,144
220984,28139,145
220985,9815,146
220993,13996,147
220996,31429,148
221009,7289,149
221013,5505,150
221014,18876,151
221034,432,152
221045,19221,153
221065,5456,154
221074,3547,155
221078,11946,156
221086,21190,157
221089,11942,158
221092,4380,159
221094,6701,160
221112,5968,161
221113,7489,162
221114,13756,163
221121,12516,164
221123,31577,165
221124,2932,166
221139,10995,167
221140,23798,168
221151,2331,169
221152,5318,170
221153,17388,171
221154,2844,172
221161,4139,173
221163,20326,174
221179,11704,175
221181,28960,176
221192,31724,177
221193,23102,178
221198,7590,179
221210,14584,180
221218,10292,181
221228,3182,182
221229,17790,183
221238,19094,184
221253,1157,185
221254,24845,186
221255,5338,187
221268,19097,188
221275,25077,189
221276,30892,190
221289,27844,191
221316,17976,192
221320,31024,193
221337,26852,194
221352,5418,195
221355,24882,196
221363,1139,197
221365,10161,198
221371,19586,199
221372,1652,200
221375,12366,201
221376,1600,202
221389,19818,203
221394,6447,204
221397,12533,205
221402,13098,206
221405,24148,207
221407,22175,208
221418,1993,209
221419,24774,210
221420,12762,211
221438,19536,212
221439,24441,213
221441,18858,214
221442,25183,215
221450,10707,216
221451,9241,217
221452,30107,218
221454,14265,219
221484,25715,220
221504,7891,221
221528,12127,222
221530,4232,223
221531,10829,224
221538,26909,225
221548,2207,226
221549,3841,227
221577,22275,228
221578,1012,229
221579,4008,230
221580,10,231
221585,19923,232
221587,14056,233
221589,2628,234
221590,7032,235
221597,30775,236
221598,22886,237
221600,29941,238
221608,10819,239
221630,23843,240
221670,12451,241
221684,22206,242
221687,8789,243
221691,29545,244
221699,20914,245
221707,2308,246
221710,2250,247
221724,31240,248
221736,32715,249
221746,32654,250
221770,18746,251
221775,18013,252
221812,3686,253
221829,21345,254
221848,6679,255
221855,2055,256
221859,6517,257
221861,32120,258
221870,29698,259
221880,27218,260
221901,17240,261
221903,13291,262
221909,3804,263
221972,18641,264
221976,18192,265
221996,7588,266
222010,16842,267
222069,26939,268
222081,2912,269
222096,29086,270
222114,25027,271
222120,2466,272
222121,722,273
222126,29389,274
222127,17939,275
222144,4351,276
222166,28094,277
222167,7567,278
222185,1422,279
222192,9830,280
222193,20999,281
222201,17276,282
222202,9946,283
222203,23430,284
222213,6329,285
222223,22797,286
222226,126,287
222235,8760,288
222250,2728,289
222255,1601,290
222257,3070,291
222266,15931,292
222271,21068,293
222281,16386,294
222282,5404,295
222285,7890,296
222286,29208,297
222304,29379,298
222325,23405,299
222330,6879,300
222353,10321,301
222371,10269,302
222378,13934,303
222380,22229,304
222382,11402,305
222392,798,306
222404,28593,307
222413,9645,308
222440,16923,309
222442,18618,310
222444,19580,311
222447,32609,312
222464,17106,313
222479,935,314
222520,13857,315
222528,31342,316
222534,14993,317
222537,16633,318
222547,20963,319
222581,14198,320
222588,24411,321
222599,23116,322
222601,19396,323
222648,27291,324
222649,23458,325
222658,32260,326
222735,32767,327
222738,3893,328
222740,11920,329
222745,26473,330
222747,17787,331
222752,27435,332
222779,4990,333
222809,14690,334
222810,28510,335
222816,13343,336
222828,11935,337
222835,24173,338
222857,14418,339
222878,12209,340
222881,25916,341
222892,24731,342
222987,10746,343
223055,16842,344
223058,16784,345
223094,30717,346
223104,829,347
223126,1617,348
223128,26325,349
223138,27113,350
223169,11662,351
223186,2543,352
223187,6715,353
223199,28039,354
223229,2714,355
223269,5649,356
223274,4412,357
223309,14225,358
223321,8871,359
223322,27541,360
223340,7237,361
223346,29291,362
223347,25855,363
223355,19245,364
223401,14172,365
223417,6335,366
223466,25622,367
223474,20830,368
223485,7694,369
223489,21059,370
223500,6341,371
223507,29412,372
223518,13112,373
223525,24452,374
223559,24620,375
223560,31630,376
223561,2475,377
223571,2643,378
223631,1125,379
223680,32143,380
223689,10095,381
223699,25607,382
223785,21545,383
223787,10889,384
223799,11903,385
223823,10385,386
223833,4240,387
223834,9484,388
223842,7217,389
223853,24305,390
223855,13310,391
223875,21040,392
223894,27417,393
223905,9,394
223916,4129,395
223932,27594,396
223939,31036,397
223988,29021,398
225125,16395,399
225152,27564,400
225175,12733,401
225182,16007,402
229010,17983,403
229017,18709,404
229018,29597,405
229022,30107,406
229026,18938,407
229030,2812,408
229032,4394,409
229052,11837,410
229054,787,411
229057,7445,412
229058,25379,413
229059,5191,414
229061,12973,415
229062,3854,416
229074,19705,417
229075,25010,418
229078,20383,419
229090,11025,420
229091,26989,421
229096,9617,422
229099,24735,423
229101,14131,424
229103,25865,425
229107,24008,426
229112,26149,427
229114,985,428
229120,17227,429
229122,7924,430
229124,5221,431
229130,8095,432
229134,23891,433
229135,3981,434
229143,24062,435
229150,21472,436
229155,1449,437
229158,5682,438
229162,21811,439
229164,6699,440
229165,344,441
229171,24200,442
229180,14164,443
229189,857,444
229196,7793,445
229203,7176,446
229209,13947,447
229210,26353,448
229213,17783,449
229215,15642,450
229217,21680,451
229220,6215,452
229224,8023,453
229236,23813,454
229237,23309,455
229246,7690,456
229248,864,457
229251,14629,458
229254,1548,459
229259,12375,460
229262,22136,461
229263,26928,462
229272,12268,463
229274,4954,464
229280,5855,465
229294,23117,466
229297,2135,467
229298,2590,468
229299,10992,469
229301,11447,470
229302,25771,471
229315,8573,472
229316,22451,473
229325,19122,474
229328,1924,475
229338,30404,476
229339,1249,477
229366,17369,478
229368,12522,479
229374,17314,480
229376,24085,481
229409,19632,482
229413,13826,483
229414,21217,484
229416,3961,485
229431,28779,486
229455,27328,487
229465,5335,488
229466,25478,489
229470,101,490
229472,1570,491
229476,13191,492
229484,14095,493
229489,11375,494
229506,1113,495
229516,14652,496
229527,18998,497
229531,8562,498
229532,22214,499
229535,12517,500
229536,26056,501
229543,32766,502
229544,7954,503
229548,17954,504
229553,19475,505
229557,11470,506
229558,13330,507
229566,4479,508
229571,19936,509
229573,15648,510
229582,16723,511
229596,20895,512
229604,19545,513
229607,19096,514
229616,7423,515
229621,487,516
229622,20736,517
229625,26251,518
229631,23264,519
229634,13283,520
229657,19263,521
229673,202,522
229674,27332,523
229678,23160,524
229687,18368,525
229703,18991,526
229713,31852,527
229727,1146,528
229728,24724,529
229759,27772,530
229767,21443,531
229773,12760,532
229788,12705,533
229794,1032,534
229820,17897,535
229828,28953,536
229829,25740,537
229830,23880,538
229838,3014,539
229860,14916,540
990026,4935,541
990040,19036,542
990099,32475,543
990111,17079,544
990133,4673,545
990140,13924,546
990175,8793,547
990190,20582,548
990211,26449,549
990213,25548,550
990241,30569,551
990252,21321,552
990271,28147,553
990278,14669,554
990284,32493,555
990295,22625,556
990360,28986,557
990394,8233,558
990411,3328,559
990424,6770,560
990478,1019,561
990483,2882,562
990489,28433,563
990526,8019,564
990530,2100,565
990545,17105,566
990559,30376,567
990560,2293,568
990591,9403,569
990600,4782,570
990615,20013,571
990618,29322,572
990654,9291,573
990666,30218,574
990668,4108,575
990687,5238,576
990696,7327,577
990730,4227,578
990738,13985,579
990739,26959,580
990744,28089,581
990752,17769,582
990757,24666,583
990774,15024,584
990802,9667,585
990807,15986,586
990826,23432,587
990839,254,588
990843,1665,589
990855,21294,590
990870,27894,591
990879,29983,592
990891,3702,593
990903,26150,594
990908,26660,595
990930,7302,596
990956,16327,597
990959,876,598
990965,2006,599
990979,5448,600
990984,31732,601
990989,546,602
990992,16678,603
991026,10872,604
991027,31008,605
991040,29784,606
991052,8695,607
991062,28944,608
991073,5766,609
991077,18853,610
991082,4529,611
991108,1655,612
991148,6450,613
991151,2730,614
991152,19256,615
991157,28268,616
991171,24603,617
991202,692,618
991240,26411,619
991249,29853,620
991253,20,621
991284,19084,622
991302,27602,623
991313,26814,624
991316,21402,625
991360,30201,626
991362,17288,627
991374,19771,628
991375,15993,629
991377,16629,630
991382,2870,631
991391,16745,632
991423,26842,633
991465,28818,634
991481,25492,635
991510,22279,636
991524,6883,637
991525,625,638
991530,7112,639
991536,1700,640
991568,912,641
991577,2775,642
991593,7838,643
991604,18216,644
991611,13818,645
991618,17431,646
991641,22565,647
991642,514,648
991647,15855,649
991649,2661,650
991650,16423,651
991654,30921,652
991666,21954,653
991676,17614,654
991684,21072,655
991696,3477,656
991697,16341,657
991712,1342,658
991745,386,659
991761,3098,660
991764,10531,661
991765,27509,662
991778,18377,663
991793,7156,664
991825,22048,665
991833,30001,666
991835,31076,667
991839,25212,668
991840,6093,669
991856,22112,670
991860,17730,671
991864,13671,672
991867,11246,673
991873,25686,674
991884,12266,675
991885,2285,676
991889,12550,677
991891,26031,678
991893,12498,679
991917,10018,680
991930,28575,681
991935,31226,682
991947,8555,683
991959,11306,684
991969,27270,685
991972,26482,686
991973,30825,687
991981,15035,688
991987,11654,689
991995,9455,690
992077,28070,691
992080,28409,692
992092,8392,693
992108,2076,694
992112,15402,695
992114,12867,696
992115,25615,697
992117,16422,698
992145,11517,699
992191,4019,700
992198,17500,701
992218,18572,702
992224,16825,703
992226,4251,704
992247,19424,705
992252,6679,706
992259,19088,707
992266,4693,708
992281,9601,709
992294,6895,710
992311,1315,711
992318,22184,712
992321,22636,713
992337,11980,714
992342,28506,715
992344,13956,716
992346,12829,717
992350,29978,718
992353,3584,719
992356,5108,720
992361,2980,721
992370,17081,722
992373,15221,723
992435,10823,724
992441,3551,725
992462,18385,726
992468,20642,727
992479,10099,728
992486,4855,729
992491,18110,730
992495,32211,731
992497,26967,732
992544,15068,733
992550,631,734
992572,22501,735
992586,17257,736
992605,10547,737
992611,32659,738
992615,5419,739
992618,18900,740
992633,2038,741
992644,26798,742
992662,12248,743
992669,20824,744
992674,19697,745
992680,9041,746
992688,24172,747
992706,31450,748
992712,3593,749
992713,17697,750
992716,30222,751
992722,16408,752
992736,3763,753
992749,12394,754
992752,7266,755
992756,20750,756
992757,7611,757
992774,32429,758
992775,12861,759
992801,26303,760
992850,25796,761
992861,30029,762
992863,30707,763
992872,6851,764
992879,26483,765
992918,3476,766
992934,26318,767
992935,14581,768
992946,28064,769
992964,1105,770
992976,27948,771
992991,366,772
992998,27285,773
993000,24408,774
993003,13407,775
993005,19723,776
993016,2800,777
993018,10054,778
993022,12702,779
993023,15292,780
993038,8090,781
993041,4871,782
993082,8420,783
993090,28557,784
993099,23759,785
993118,6723,786
993120,31218,787
993126,27550,788
993136,30026,789
993144,23121,790
993146,23854,791
993167,22779,792
993170,14939,793
993265,24636,794
993271,29168,795
993290,18790,796
993300,32097,797
993314,12187,798
993341,31700,799
993346,13931,800
993349,24654,801
993361,14499,802
993374,8971,803
993387,28933,804
993390,12520,805
993391,18723,806
993415,10901,807
993416,22293,808
993427,8867,809
993429,29565,810
993439,12022,811
993447,17694,812
993453,10700,813
993470,432,814
993486,11824,815
993492,20788,816
993501,9472,817
993523,5013,818
993561,20522,819
993577,3263,820
993651,13919,821
993656,11042,822
993661,6138,823
993662,1682,824
993665,22377,825
993682,20346,826
993688,22319,827
993690,3612,828
993696,20700,829
993709,3328,830
993710,18724,831
993722,7497,832
993730,4055,833
993734,18211,834
993741,1154,835
993745,4480,836
993782,6792,837
993810,12543,838
993815,809,839
993818,31094,840
993820,6749,841
993827,15829,842
993845,12387,843
993880,5503,844
993881,88,845
993905,29243,846
993915,8831,847
993918,23042,848
993937,21234,849
993960,985,850
993968,81,851
993971,21872,852
993988,777,853
993994,20119,854
994007,18369,855
994022,26603,856
994028,4662,857
994080,634,858
994081,27984,859
994090,12921,860
994111,2448,861
994153,301,862
994184,14735,863
994187,23762,864
994195,4075,865
994206,8378,866
994224,14016,867
994231,29128,868
994257,17449,869
994264,5752,870
994275,26673,871
994284,21933,872
994326,557,873
994353,7267,874
994374,26743,875
994377,4408,876
994404,21157,877
994409,31306,878
994419,1018,879
994430,16527,880
994441,12470,881
994450,27472,882
994457,8744,883
994469,28031,884
994474,17540,885
994480,31806,886
994487,24268,887
994517,29118,888
994531,8023,889
994538,8866,890
994540,22231,891
994558,25276,892
994580,2410,893
994593,13350,894
994602,21584,895
994603,9004,896
994628,23554,897
994669,13851,898
994672,6631,899
994674,5409,900
994682,13191,901
994687,1796,902
994691,18038,903
994695,8561,904
994697,18203,905
994702,12120,906
994710,31801,907
994711,2585,908
994712,16683,909
994721,30555,910
994725,16567,911
994731,29614,912
994739,3049,913
994747,5529,914
994760,17709,915
994761,2875,916
994771,18439,917
994790,4451,918
994792,13565,919
994866,29355,920
994885,22416,921
994887,21906,922
994907,29688,923
994926,28671,924
994939,18369,925
994952,28970,926
994953,32745,927
994973,30543,928
994981,29421,929
995002,373,930
995005,13964,931
995011,25130,932
995038,8659,933
995073,2172,934
995088,30145,935
995162,8732,936
995164,20744,937
995172,18487,938
995174,17244,939
995206,27958,940
995233,29366,941
995236,19923,942
995251,32442,943
995253,24318,944
995256,12584,945
995281,9670,946
995294,4817,947
995311,7578,948
995333,27314,949
995339,26980,950
995344,24778,951
995348,15075,952
995357,29735,953
995380,10408,954
995388,5216,955
995421,30254,956
995428,16074,957
995436,13139,958
995519,23853,959
995531,10598,960
995555,18774,961
995564,22967,962
995573,913,963
995584,15744,964
995598,13035,965
995633,8747,966
995647,5305,967
995661,22230,968
995670,6324,969
995683,3389,970
995697,12524,971
995699,8236,972
995702,24985,973
995708,25040,974
995750,26695,975
995800,12368,976
995812,32275,977
995816,27874,978
995822,31933,979
995844,28491,980
995849,4724,981
995888,22319,982
995891,25645,983
995915,28971,984
995931,7030,985
995936,204,986
995940,14436,987
995942,29493,988
995944,5860,989
995959,16687,990
995983,20859,991
996018,27343,992
996019,17309,993
996020,9185,994
996023,25201,995
996035,9689,996
996036,32360,997
996040,10419,998
996044,22226,999
996053,29669,1000
996056,16921,1001
996062,12126,1002
996114,1070,1003
996122,2591,1004
996151,481,1005
996160,2228,1006
996205,10911,1007
996222,18241,1008
996245,12203,1009
996254,1901,1010
996259,13574,1011
996260,18479,1012
996329,12499,1013
996365,710,1014
996372,30262,1015
996378,19319,1016
996383,14474,1017
996393,26880,1018
996396,26822,1019
996399,5107,1020
996411,8320,1021
996420,28453,1022
996421,4334,1023
996428,3036,1024
996442,32078,1025
996454,16288,1026
996493,22375,1027
996537,16224,1028
996539,27787,1029
996546,12309,1030
996562,18796,1031
996598,16762,1032
996604,798,1033
996609,1815,1034
996611,21157,1035
996614,25011,1036
996627,13390,1037
996628,17223,1038
996630,23255,1039
996634,4248,1040
996657,17161,1041
996658,31992,1042
996671,766,1043
996678,18135,1044
996691,9837,1045
996695,23575,1046
996708,21880,1047
996719,17201,1048
996729,9245,1049
996742,8057,1050
996751,17308,1051
996768,22515,1052
996782,31592,1053
996788,400,1054
996839,7959,1055
996845,116,1056
996888,909,1057
996895,6043,1058
996902,17432,1059
996925,4913,1060
996926,22224,1061
996929,3383,1062
996935,30400,1063
996956,6617,1064
997006,11351,1065
997009,11522,1066
997011,25449,1067
997021,15914,1068
997032,26124,1069
997058,7262,1070
997084,265,1071
997116,14592,1072
997128,22710,1073
997212,25019,1074
997229,19268,1075
997238,14210,1076
997241,5408,1077
997262,11614,1078
997264,10539,1079
997266,5347,1080
997274,3715,1081
997276,20580,1082
997278,14316,1083
997290,24126,1084
997305,18262,1085
997309,25534,1086
997312,8632,1087
997333,18448,1088
997345,27412,1089
997356,19456,1090
997370,29831,1091
997373,21686,1092
997386,478,1093
997401,19481,1094
997416,24276,1095
997431,31774,1096
997441,19102,1097
997500,16448,1098
997501,1898,1099
997512,32012,1100
997514,7701,1101
997528,12496,1102
997553,31281,1103
997556,14193,1104
997591,767,1105
997596,29470,1106
997603,15766,1107
997606,1494,1108
997625,4597,1109
997684,4728,1110
997686,663,1111
997708,32249,1112
997719,4609,1113
997775,22259,1114
997813,29592,1115
997814,11237,1116
997816,30979,1117
997825,15183,1118
997827,6833,1119
997846,4240,1120
997857,12978,1121
997960,27717,1122
997987,26193,1123
998015,17501,1124
998016,16172,1125
998020,18423,1126
998021,21428,1127
998022,21089,1128
998028,19052,1129
998032,6677,1130
998080,6619,1131
998085,31089,1132
998093,10409,1133
998109,4658,1134
998117,16725,1135
998120,7303,1136
998131,23429,1137
998136,17058,1138
998140,6120,1139
998151,29579,1140
998152,22695,1141
998154,5213,1142
998199,8707,1143
998203,9739,1144
998209,20062,1145
998224,31790,1146
998229,26992,1147
998234,24005,1148
998256,9507,1149
998267,5308,1150
998298,26290,1151
998312,9141,1152
998320,17937,1153
998331,14892,1154
998379,6203,1155
998396,7519,1156
998404,10961,1157
998411,20713,1158
998416,19925,1159
998433,27875,1160
998493,24149,1161
998499,12531,1162
998512,2610,1163
998552,12588,1164
998558,16030,1165
998574,24487,1166
998580,15010,1167
998607,2280,1168
998610,2900,1169
998617,20043,1170
998642,15752,1171
998675,14262,1172
998679,29209,1173
998704,29545,1174
998723,20743,1175
998758,8276,1176
998762,4385,1177
998780,12695,1178
998798,1355,1179
998809,30119,1180
998815,7048,1181
998820,12460,1182
998834,7836,1183
998845,21093,1184
998846,14041,1185
998847,9982,1186
998881,18155,1187
998999,15220,1188
999002,2701,1189
999012,11573,1190
999035,2493,1191
999090,15461,1192
999100,5871,1193
999102,1812,1194
999104,28484,1195
999137,6296,1196
999140,16787,1197
999156,4772,1198
999188,13116,1199
999197,16665,1200
999215,18659,1201
999263,5685,1202
999289,30610,1203
999395,19275,1204
999414,20909,1205
999432,11487,1206
999434,30114,1207
999465,17760,1208
999467,5687,1209
999486,25255,1210
